順位,名前,点数
844,大林道路,390
845,ツムラ,320
846,黒崎播磨,680
847,共立メンテナンス,800
848,菱洋エレクトロ,860
849,アマノ,60
850,日東工業,340
851,ＧＭＯインターネット,90
852,富士通フロンテック,730
853,ニチモウ,60
854,神奈川中央交通,730
855,フクダ電子,390
856,ジャックス,640
857,新電元工業,510
858,パル,500
859,キリン堂ホールディングス,830
860,総合メディカル,750
861,ＪＵＫＩ,1
862,ニチコン,230
863,日新電機,460
864,富士機工,580
865,メタウォーター,180
866,中国塗料,580
867,ニチハ,30
868,日本取引所グループ,720
869,木徳神糧,710
870,三重交通グループホールディングス,1040
871,沢井製薬,350
872,都築電気,720
873,やまびこ,310
874,日本合成化学工業,950
875,ブルボン,330
876,ピーエス三菱,490
877,ビー・エム・エル,400
878,不二家,50
879,西尾レントオール,650
880,川田テクノロジーズ,680
881,Ｏｌｙｍｐｉｃグループ,640
882,タクマ,260
883,セーレン,260
884,ドウシシャ,230
885,ジーフット,80
886,ティラド,250
887,石原産業,400
888,乃村工藝社,670
889,イトーキ,200
890,ＭＣＪ,1
891,横河ブリッジホールディングス,950
892,日本パーカライジング,750
893,アオキスーパー,620
894,ユアサ・フナショク,320
895,日本コークス工業,790
896,アークランドサカモト,700
897,大阪ソーダ,400
898,中越パルプ工業,780
899,オーエスジー,170
900,ナラサキ産業,730
901,ヤマナカ,260
902,ソーダニッカ,640
903,北海道瓦斯,690
904,カドカワ,610
905,日本毛織,560
906,日本信号,730
907,品川リフラクトリーズ,750
908,飯野海運,290
909,太平洋工業,370
910,サトーホールディングス,480
911,京葉瓦斯,310
912,フィールズ,250
913,極東開発工業,850
914,ノリタケカンパニーリミテド,790
915,不二サッシ,230
916,アンリツ,260
917,ミクニ,260
918,栗本鐵工所,710
919,正栄食品工業,880
920,大豊工業,310
921,トーカイ,200
922,第四銀行,360
923,くらコーポレーション,680
924,足利ホールディングス,830
925,マックスバリュ北海道,840
926,ラクト・ジャパン,550
927,日本車輌製造,460
928,三井製糖,240
929,関西アーバン銀行,810
930,ハローズ,250
931,サニックス,650
932,キヤノン電子,400
933,バンドー化学,680
934,日本電子,230
935,藤森工業,690
936,亀田製菓,730
937,丸全昭和運輸,460
938,岡三証券グループ,760
939,カワニシホールディングス,780
940,日伝,80
941,市光工業,700
942,マミーマート,270
943,科研製薬,620
944,能美防災,170
945,新東工業,370
946,上原成商事,430
947,住友精化,440
948,日本トランスシティ,770
949,共同印刷,400
950,グリー,250
951,ＪＢＣＣホールディングス,420
952,リケンテクノス,620
953,ハマキョウレックス,680
954,山洋電気,700
955,高島,320
956,ベルパーク,550
957,小森コーポレーション,770
958,住江織物,440
959,第一交通産業,510
960,メイコー,260
961,名鉄運輸,150
962,東リ,340
963,山陰合同銀行,620
964,エスケー化研,650
965,三浦工業,670
966,パイロットコーポレーション,710
967,日東紡績,370
968,学研ホールディングス,830
969,ジェコス,310
970,松竹,290
971,アキレス,560
